Name,Age,Gender,Qualification,Marks,Roll no,Phn no,Email,Address,Grade,Dept name,Dept id,Attendance,Dob,Target
janani,19,F,BE,55,19,7568368492,jan@gmail.com,zzzzzz,C,CSE,104,50,15-03-2004,0
kiruthika,20,F,BE,85,20,7878029444,kiruth@gmail.com,KKKKKK,A,CSE,104,98,03-08-2005,0
kripa,20,F,BE,90,21,8769599939,kripa@gmail.com,CCCCCC,O,CSE,104,68,29-01-2005,0
lochana,19,F,BE,98,22,7589827970,loch@gmail.com,CCCCCC,O,CSE,104,58,19-03-2006,0
mahadi,19,F,BE,98,23,7387874945,maha@gmail.com,xxxxxx,B,CSE,104,59,22-04-2004,0
madhu,19,F,BE,72,24,9855797688,adhu@gmail.com,yyyyyy,A,CSE,104,68,19-08-2004,0
menaka,19,F,BE,88,25,8278950886,menu@gmail.com,yyyyyy,B,CSE,104,45,18-06-2005,0
madhu.v,22,F,BE,70,26,7892576465,madhuv@gmail.com,CCCCCC,B,CSE,104,64,14-09-2004,0
nadhiya,21,F,BE,50,27,9265625234,nadhu@gmail.com,AAAAAA,C,CSE,104,34,28-05-2004,0
nandhini,22,F,BE,69,28,7165478775,nandhu@gmail.com,yyyyyy,B,CSE,104,74,15-04-2005,0
gayu,19,F,BE,53,29,9756786990,gay@gmail.com,zzzzzz,C,CSE,104,84,23-07-2004,0
gokul,20,M,BE,47,30,8976576566,gokz@gmail.com,zzzzzz,C,CSE,104,58,09-03-2005,0
karthik,19,M,BE,88,31,7467595867,karthi@gmail.com,BBBBBBB,A,CSE,104,25,03-11-2003,0
kamalesh,20,M,BE,76,32,95716567T5,kam2@gmail.com,CCCCCC,B,CSE,104,82,11-06-2006,0
bharath,21,M,BE,59,33,9578757756,bara4@gmail.com,CCCCCC,C,CSE,104,93,04-12-2006,0
aravindh,22,M,BE,61,34,7586579878,aru6@gmail.com,xxxxxx,C,CSE,104,71,24-07-2005,0
balaji,19,M,BE,78,35,8567657676,bala4@gmail.com,CACACA,A,CSE,104,95,05-03-2006,0
ujith,18,M,BE,65,36,9968776578,reddy@gmail.com,CCCCCC,B,CSE,104,68,11-12-2004,0
madhan,18,M,BE,78,37,6857897585,madhan@gmail.com,zzzzzz,C,CSE,104,34,23-06-2004,0
lakshmanan,20,M,BE,50,38,7598758976,laksh2@gmail.com,zzzzzz,C,CSE,104,67,02-02-2006,0
lokesh,20,M,BE,45,39,9857568905,loki8@gmail.com,xxxxxx,C,CSE,104,98,14-07-2005,0
lithish,21,M,BE,56,40,6859010184,lithu5@gmail.com,BBBBBBB,A,CSE,104,25,27-08-2003,0
karan,20,M,BE,85,41,9134400567,karankiruthi@gmail.com,KKKKKK,A,CSE,104,84,03-09-2005,0
dinesh,22,M,BE,60,42,7394908568,dd5@gmail.com,DDDDDD,A,CSE,104,68,20-02-2006,0
rajesh,22,M,BE,80,43,9461656719,dharaj@gmail.com,DDDDDD,A,CSE,104,95,22-08-2006,0
raj kumar,20,M,BE,85,44,8536789895,raj9@gmail.com,RRRRRR,A,CSE,104,74,17-07-2005,0
vicky,19,M,BE,90,45,6159895095,vic78@gmail.com,KKKKKK,O,CSE,104,78,24-11-2006,0
vigneshan,22,M,BE,99,46,9189T57675,nesh80@gmail.com,VVVVVV,O,CSE,104,59,28-12-2005,0
praveen,21,M,BE,78,47,6789504678,prav7@gmail.com,VKVKVK,B,CSE,104,23,08-01-2004,0
siva kumar,20,M,BE,85,48,9146576866,siva2@gmail.com,xxxxxx,A,CSE,104,63,19-11-2003,0
nithya prasadh,19,M,BE,65,49,6574839098,nithu098@gmail.com,zzzzzz,B,CSE,104,100,07-08-2004,0
sarath,20,M,BE,79,50,7598639186,sarath0918@gmail.com,KKKKKK,B,CSE,104,53,14-06-2003,0
varshini,18,F,BE,20,51,6245615454,varsh@gmail.com,AAAAAA,D,CSE,104,80,20-26-2004,1
kavya,19,F,BE,15,52,8456556512,kav@gmail.com,AAAAAA,D,CSE,104,50,23-04-2006,1
roshini,20,F,BE,35,53,7855451524,roshni@gmail.com,xxxxxx,D,CSE,104,40,08-06-2003,1
sharani,21,F,BE,40,54,9454874544,sharu@gmail.com,zzzzzz,D,CSE,104,60,05-02-2006,1
nithya sri,17,F,BE,12,55,6845545747,nithu39@gmail.com,xxxxxx,D,CSE,104,96,01-11-2004,1
famitha,20,F,BE,10,56,6848411225,fami90@gmail.com,BBBBBBB,D,CSE,104,39,10-01-2006,1
sufiya,21,F,BE,11,57,9457544441,sufi@gmail.com,CCCCCC,D,CSE,104,68,19-03-2004,1
abhitha,19,F,BE,40,58,6817456233,abhit@gmail.com,CCCCCC,D,CSE,104,6,12-12-2005,1
abhinaya,18,F,BE,30,59,8155465526,naya09@gmail.com,yyyyyy,D,CSE,104,75,08-12-2006,1
reshma,20,F,BE,29,60,8955588989,shma47@gmail.com,yyyyyy,D,CSE,104,84,03-08-2004,1
roshika,17,F,BE,39,61,7585857123,rosh54@gmail.com,zzzzzz,D,CSE,104,24,08-06-2006,1
radha,17,F,BE,38,62,9898471523,dha4@gmail.com,BBBBBBB,D,CSE,104,96,03-12-2003,1
navya,19,F,BE,27,63,9820205424,navi31@gmail.com,CCCCCC,D,CSE,104,24,04-11-2006,1
sharon,22,F,BE,14,64,7595999425,sharu@gmail.com,BBBBBBB,D,CSE,104,51,06-12-2006,1
eniya,17,F,BE,15,65,7878151511,niya31@gmail.com,xxxxxx,D,CSE,104,96,24-05-2004,1
monika,18,F,BE,16,66,8855575233,moni09@gmail.com,xxxxxx,D,CSE,104,85,16-04-2004,1
srijha ,20,F,BE,27,67,9393548162,jha4@gmail.com,yyyyyy,D,CSE,104,25,12-07-2005,1
vaishali,19,F,BE,28,68,9944207253,shali09@gmail.com,CCCCCC,D,CSE,104,36,05-02-2006,1
gokulavani,17,F,BE,29,69,7552121254,vani43@gmail.com,BBBBBBB,D,CSE,104,36,15-11-2005,1
komathi,18,F,BE,23,70,9555572533,mathi@gmail.com,AAAAAA,D,CSE,104,96,15-12-2005,1
ramya,20,F,BE,30,71,8452637056,ram28@gmail.com,xxxxxx,D,CSE,104,78,13-04-2003,1
priyanka,18,F,BE,19,72,9092052352,priyu78@gmail.com,yyyyyy,D,CSE,104,25,23-12-2005,1
ashwini,17,F,BE,5,73,7082631465,ash09@gmail.com,zzzzzz,D,CSE,104,35,30-06-2004,1
keerthana,19,F,BE,40,74,9898050400,keerthu@gmail.com,zzzzzz,D,CSE,104,14,15-02-2006,1
rathika,19,F,BE,41,75,9568125222,rath@igmail.com,zzzzzz,D,CSE,104,16,24-01-2004,1
rithik,20,F,BE,42,76,6468280522,rithi24@gmail.com,AAAAAA,D,CSE,104,12,13-11-2005,1
roshan,21,F,BE,43,77,9695632415,rosh78@gmail.com,AAAAAA,D,CSE,104,21,02-05-2004,1
varshan,18,F,BE,17,78,7598235454,varu34@gmail.com,CCCCCC,D,CSE,104,20,11-03-2005,1
kishore,19,F,BE,18,79,7596814525,kichu90@gmail.com,BBBBBB,D,CSE,104,20,07-09-2006,1
raghul,17,F,BE,19,80,9685744550,raghul@gmail.com,DDDDDD,D,CSE,104,23,22-05-2006,1
sanjay,22,F,BE,28,81,9668213330,sanju672@gmail.com,FFFFFFFF,D,CSE,104,96,14-07-2004,1
tilak,21,F,BE,29,82,9097585122,tilu65@gmail.com,VVVVVV,D,CSE,104,85,16-12-2005,1
dharshan,20,F,BE,2,83,8587422252,dharshu@gmail.com,HHHHH,D,CSE,104,74,08-09-2006,1
hithesh,20,F,BE,1,84,9493758444,hithu09@gmail.com,IIIIIIIIIII,D,CSE,104,58,06-12-2004,1
dhinu,18,F,BE,15,85,6875999855,dhin@gmail.com,zzzzzz,D,CSE,104,53,27-11-2003,1
kaushik,19,F,BE,22,86,9091120558,kaushi43@gmail.com,OOOOO,D,CSE,104,62,19-11-2005,1
yukesh,17,F,BE,25,87,9072563110,yuki@gmail.com,xxxxxx,D,CSE,104,51,16-03-2004,1
kamesh,19,F,BE,11,88,7586923146,kamu@gmail.com,yyyyyy,D,CSE,104,41,12-11-2003,1
aakash,20,F,BE,44,89,7968443125,aaku@gmail.com,PPPPPP,D,CSE,104,23,27-05-2006,1
vinodh,21,F,BE,33,90,8689952230,\vini34@gmail.com,NNNNNNN,D,CSE,104,56,23-09-2005,1
mani,17,F,BE,22,91,9852548443,manu4@gmail.com,MMMMMM,D,CSE,104,96,04-04-2004,1
monish,18,F,BE,20,92,2652125854,moni45@gmail.com,WWWWWW,D,CSE,104,47,11-03-2005,1
santhosh,19,F,BE,20,93,6985858774,santhu@gmail.com,xxxxxx,D,CSE,104,52,19-04-2004,1
venkat,20,F,BE,21,94,9092054210,venki@gmail.com,yyyyyy,D,CSE,104,41,03-03-2005,1
murthi,21,F,BE,28,95,8255422053,mur90@gmail.com,EEEEEEEE,D,CSE,104,18,30-11-2003,1
suresh,21,F,BE,29,96,8643305053,suri89@gmail.com,BBBBBBB,D,CSE,104,29,07-11-2006,1
raman,21,F,BE,37,97,7584962100,ramu90@gmail.com,QQQQQQ,D,CSE,104,96,23-12-2006,1
sridhar,18,F,BE,38,98,7128391204,sridhu@gmail.com,SSSSSSS,D,CSE,104,99,03-01-2006,1
deva,18,F,BE,35,99,9818222303,devu87@gmail.com,LLLLLLLL,D,CSE,104,100,03-09-2006,1
avinash,18,F,BE,31,100,7896454281,avi765@gmail.com,NNNNNNN,D,CSE,104,56,19-05-2004,1
